screen_name,tweet_id,da,date,time,latitude,longitude,content
NWS Tornado Warnings,660511665700474880,2015-10-31 17:40:27,2015-10-31,17:40:27,30.65404743,-91.63804162,"Tornado Warning including Livonia LA, Lottie LA, Morganza LA until 1:15 PM CDT https://t.co/juYq1QpHE8"
Treezie Playe,660510275523612672,2015-10-31 17:34:56,2015-10-31,17:34:56,18.5028,-67.0247,"Caught a tornado the day before I left P.R. to FL. @ Isabela, Puerto Rico https://t.co/8ZCFr7dRBp"
NWS Tornado Warnings,660508873720070147,2015-10-31 17:29:21,2015-10-31,17:29:21,30.25027902,-90.87097744,"Tornado Warning including Gonzales LA, Sorrento LA until 1:00 PM CDT https://t.co/yEGTrbIWLA"
NWS Tornado Warnings,660501242620186624,2015-10-31 16:59:02,2015-10-31,16:59:02,31.44873512,-91.79509618,Tornado Warning including Jonesville LA until 12:15 PM CDT https://t.co/vtbylMZ22F
NWS Tornado Warnings,660498809592541184,2015-10-31 16:49:22,2015-10-31,16:49:22,31.44873512,-91.79509618,Tornado Warning including Jonesville LA until 12:15 PM CDT https://t.co/x3Tqc6CIyJ
IEMBot LCH,660497707228774400,2015-10-31 16:44:59,2015-10-31,16:44:59,31.09,-92.76,"At 10:23 AM, 4 S Hineston [Rapides Co, LA] EMERGENCY MNGR reports TORNADO #LCH https://t.co/h8jCeihn40"
Houston Press,660494468060069889,2015-10-31 16:32:07,2015-10-31,16:32:07,29.75523769,-95.3618441,"Media Release: City of Houston Activates Emergency Operations Center in Response to Flooding, Tornado threat: https://t.co/RZpyEy4zlE"
Dinjii Styling Co.,660491654084825088,2015-10-31 16:20:56,2015-10-31,16:20:56,29.7629,-95.3832,"More pics from tornado. #blogger #houston #badweather @ Houston, Texas https://t.co/WvkeWVPxkb"
Dinjii Styling Co.,660491431677661185,2015-10-31 16:20:03,2015-10-31,16:20:03,29.7629,-95.3832,The tornado sounded like a freight train . #SavedbyHisGrace #blogger #houston #abc13 #kprc2 @ https://t.co/IsZWKvL1dF
Dinjii Styling Co.,660486884582432768,2015-10-31 16:01:59,2015-10-31,16:01:59,29.7629,-95.3832,Just some of the damage from the tornado that hit us . #Channel13News #houston #godhasmecovered https://t.co/cJPgL8OUCJ
NWS Tornado Warnings,660482019072192513,2015-10-31 15:42:39,2015-10-31,15:42:39,31.12899999,-92.57962025,"Tornado Warning including Woodworth LA, Calcasieu LA until 11:00 AM CDT https://t.co/5OV4yCtS04"
Mouton Cove Weather,660481362172907520,2015-10-31 15:40:02,2015-10-31,15:40:02,29.875016,-92.218675,TORNADO WATCH 527 REMAINS VALID UNTIL 2 PM CDT THIS AFTERNOON FOR THE FOLLOWING AREAS IN LOUISIANA T... #lawx https://t.co/Tg47eA9TO4
NWS Tornado Warnings,660480735648722945,2015-10-31 15:37:33,2015-10-31,15:37:33,31.12899999,-92.57962025,"Tornado Warning including Woodworth LA, Calcasieu LA until 11:00 AM CDT https://t.co/8TUegvr8G6"
Nadia Kim  ^_^,660480326918098944,2015-10-31 15:35:55,2015-10-31,15:35:55,-6.27128398,106.97202656,"Hello #satnight  Tornado green tea  it's my style  @ Lotteria,grand galaxy city https://t.co/WJRhbrptK1"
Memphis CP,660480124882563073,2015-10-31 15:35:07,2015-10-31,15:35:07,35.14414333,-90.04617767,The Latest on Texas storms: 2 hurt in possible tornado: The latest on the strong storms buffeting Texas for a https://t.co/6rBiSbh9Sk
NWS Tornado Warnings,660479042726985728,2015-10-31 15:30:49,2015-10-31,15:30:49,31.12776417,-92.60165852,"Tornado Warning including Woodworth LA, Hineston LA, Union Hill LA until 11:00 AM CDT https://t.co/kBMAyMut74"
NWS Tornado Warnings,660478586848063488,2015-10-31 15:29:00,2015-10-31,15:29:00,31.12776417,-92.60165852,"Tornado Warning including Woodworth LA, Hineston LA, Union Hill LA until 11:00 AM CDT https://t.co/iO8cUE0jhr"
IEMBot HGX,660477878740512768,2015-10-31 15:26:12,2015-10-31,15:26:12,29.53,-95.22,"At 5:30 AM, 2 NW Friendswood [Galveston Co, TX] EMERGENCY MNGR reports TORNADO #HGX https://t.co/WET5rjFsAw"
A$AP CA$$,660477552356528128,2015-10-31 15:24:54,2015-10-31,15:24:54,29.051125,-95.44125001,Damn a tornado touched down in the farms last night. Glad I wasn't at my house 
Allen M.,660468507814006785,2015-10-31 14:48:57,2015-10-31,14:48:57,41.79100779,-87.5829184,Soccer was cancelled so we did the next best thing. @msichicago #tornado #HarvestThePower #family https://t.co/aiMZHo000m
Houston M. York,660467451746873345,2015-10-31 14:44:46,2015-10-31,14:44:46,29.538533,-95.189368,Clean up underway in Friendswood after tornado as more severe rain comes #houwx #txwx #HoustonFlood https://t.co/K9kJ5be13k
Spotter Network Inc,660462129330286592,2015-10-31 14:23:37,2015-10-31,14:23:37,30.7534,-93.5427,"Spotr 1 miles W of MERRYVILLE, LA @ 02:22PM UTC TOR&gt;-Rain wrapped tornado just east my location. Trees uprooted."
NWS Tornado Warnings,660459308077846528,2015-10-31 14:12:24,2015-10-31,14:12:24,31.02291157,-93.33969384,"Tornado Warning including Burr Ferry LA, Leesville LA, Fort Polk LA until 10:00 AM CDT https://t.co/eubsfOBTEw"
IEMBot HGX,660453352640155652,2015-10-31 13:48:44,2015-10-31,13:48:44,29.87,-95.06,"At 7:05 AM, Barrett [Harris Co, TX] CITY OFFICIAL reports TORNADO #HGX https://t.co/KoJwdlOmeq"
NWS Tornado Warnings,660453111215996928,2015-10-31 13:47:46,2015-10-31,13:47:46,30.87610999,-93.70506658,"Tornado Warning including Newton TX, Jamestown TX until 9:15 AM CDT https://t.co/vdSA4MRWUr"
NWS Tornado Warnings,660452954449666048,2015-10-31 13:47:09,2015-10-31,13:47:09,31.26653477,-92.88505183,"Tornado Warning including Boyce LA, Simpson LA, Lacamp LA until 9:30 AM CDT https://t.co/cj1K42XMij"
IEMBot HGX,660451068845776896,2015-10-31 13:39:40,2015-10-31,13:39:40,29.47,-95.21,"At 5:28 AM, 3 SSW Friendswood [Galveston Co, TX] BROADCAST MEDIA reports TORNADO #HGX https://t.co/AiMKDnJvPT"
IEMBot BRO,660451033919819776,2015-10-31 13:39:31,2015-10-31,13:39:31,26.37,-97.67,"At 6:38 AM, 1 S LOS Coyotes [Willacy Co, TX] PUBLIC reports TORNADO #BRO https://t.co/P5Y2A7xDBz"
